name,price,originalPrice,image
Pepper Crusher & Salt Dispenser 6 Inches | High Grade Wooden Grinder with Steel Attachments,1508,1699,https://static-01.daraz.com.np/p/1441fde6e963fba2665d9ea85d49d61e.jpg
Wooden Pepper Crusher 8",1162,No Original Price,https://static-01.daraz.com.np/p/0a880269f8fedf909c08ffa405b8b861.jpg
Stainless Steel Salt Sugar Spice Pepper Shaker Seasoning Cans,220,418,https://static-01.daraz.com.np/p/f1365404ace437b3ecd05296cb215d3a.png
S.S Salt And Paper,245,499,https://static-01.daraz.com.np/p/c8fcc3bc1ef1272e626ba8d58e2fe8ab.jpg
Retro Glass Sugar Pourer (Small),299,No Original Price,https://static-01.daraz.com.np/original/a19f995368ce7b685ece0f40efe192f7.jpg
Extra Large Big Size Walnut Wood with Stainless Steel Attachments Inside Classic Wooden Pepper Crusher/ Grinder 30 cm Size with Metal Mechanical Grinder Stylish Elegant  Design,2599,No Original Price,https://static-01.daraz.com.np/p/b3a1e32112328759982db236a30bdd54.jpg
Wood Pepper Grinder (20 cm)-1 Pc,699,No Original Price,https://static-01.daraz.com.np/p/ffde4cd57a106ef3f7e10ecf74785c9d.jpg
High Grade Heavy Duty Wooden Manual Salt Pepper Grinder Crusher Mill Shakers with Ceramic Rotor for Home & Kitchen Medium ( 7-inch),999,No Original Price,https://static-01.daraz.com.np/p/739af1fb2539788f74b10d28f2f65919.jpg
Steel Salt & Pepper Shaker,392,No Original Price,https://static-01.daraz.com.np/p/bc247e32c992d6e18cb7225e39110129.jpg
Wooden Salt And pepper Set,799,No Original Price,https://np-live-21.slatic.net/kf/S6252b4fdceab42d9a56c173ff893d913k.jpg
16Pcs Candle Tins for Candle Making Kit Empty Metal Candle Tin with Lids Storage Tins Reusable,4983,No Original Price,https://static-01.daraz.com.np/p/971e5a534ad88e59b97a7576483aa18d.png
Stainless steel pepper grinder manual glass grinding bottle freshly ground pepper powder seasoning bottle crushed sea salt granules wholesale,905,1177,https://static-01.daraz.com.np/p/cfaf1f102cb2caf907c9ee75e06ce605.jpg
Crystal Salt And Pepper Shaker With Twister Lid For Home And Restaurant,149,175,https://static-01.daraz.com.np/p/78d24d5095906b9ec8486be7d39f743e.jpg
Classic Home Grease Can/Salt And Pepper Shaker,160,200,https://static-01.daraz.com.np/p/18bb3ded28d030f33f0637b07a29dc8a.jpg
Wooden Salt And Pepper Stores,700,No Original Price,https://static-01.daraz.com.np/p/55546ac35d2bee8b6492445ac7c63b26.jpg
Oregano Salt And Pepper Shaker With Twister Lid For Home And Restaurant,179,No Original Price,https://static-01.daraz.com.np/p/2bca8c8642f70929095b50486acbe9f7.png
Otto Drizzle Salt and pepper | Hard Plastic | Multi Color available,94,120,https://static-01.daraz.com.np/p/109eff3615cdd0095db727a4f482f682.jpg
Blue/White Plastic Salt Or Pepper Shaker,150,No Original Price,https://static-01.daraz.com.np/p/88de957834fa71e621f6216a6ab8c46d.jpg
Crystal Salt And Pepper Shaker With Twister Lid For Home And Restaurant Set Of 4,545,620,https://static-01.daraz.com.np/p/4dd29c1ee4ee58f9da125c094b3857b7.jpg
Salt & Pepper 2pc,840,No Original Price,https://static-01.daraz.com.np/p/0f3117ec3e32ab6afc5c827bfca390e3.jpg
Wooden Salt Shaker And Pepper Mill Grinder Crusher Set,990,No Original Price,https://np-live-21.slatic.net/kf/S1cb3436633db4c9c8e58347b5a91764dQ.jpg
Oregano Salt And Pepper Shaker With Twister Lid For Home And Restaurant Set Of 4,599,No Original Price,https://static-01.daraz.com.np/p/996ccd0b42cdfdd7b8ef031b4b3f485b.jpg
Set Of 2 Wooden Salt And Pepper Mill Grinder,800,975,https://np-live-21.slatic.net/kf/Sc60f6d6339064749bb9e0365bbeb70983.jpg
